date,visitors,sales_amount,avg_spend,member_visitors,member_ratio,new_member_ratio,repeat_ratio,temp_max,temp_min,precipitation_mm,weather,foot_traffic,sns_mentions,sns_sentiment,point_multiplier,is_sale,coupon_sent,is_holiday,is_weekend,is_payday
2024-01-01,686,1820644,2654,402,0.586,0.064,0.936,11.0,1.2,0.0,cloudy,8403,218,0.517,1,0,0,1,0,0
2024-01-02,534,1427382,2673,337,0.631,0.092,0.908,8.9,0.5,0.0,sunny,6705,238,0.553,1,0,0,0,0,0
2024-01-03,535,1372810,2566,335,0.626,0.062,0.938,11.5,1.2,0.0,sunny,6902,221,0.61,1,0,0,0,0,0
2024-01-04,635,1581150,2490,396,0.624,0.06,0.94,11.8,0.1,0.0,cloudy,6629,299,0.556,1,0,0,0,0,0
2024-01-05,711,1903347,2677,462,0.65,0.055,0.945,7.4,0.7,0.0,cloudy,8862,463,0.671,5,0,0,0,0,0
2024-01-06,1161,3202038,2758,761,0.656,0.072,0.928,8.3,0.5,0.0,cloudy,10901,399,0.64,1,1,0,0,1,0
2024-01-07,937,2487735,2655,639,0.682,0.09,0.91,10.4,1.4,0.0,sunny,9578,263,0.541,1,1,0,0,1,0
2024-01-08,627,1601985,2555,368,0.587,0.039,0.961,9.7,1.4,0.0,sunny,7640,160,0.534,1,0,0,1,0,0
2024-01-09,536,1272464,2374,344,0.642,0.038,0.962,10.1,-2.3,0.0,cloudy,5746,283,0.322,1,0,0,0,0,0
2024-01-10,615,1578705,2567,359,0.584,0.037,0.963,8.8,-3.2,0.0,sunny,6710,182,0.524,10,0,1,0,0,0
2024-01-11,535,1345525,2515,342,0.64,0.06,0.94,11.4,1.6,14.3,rain,5309,179,0.292,1,0,1,0,0,0
2024-01-12,454,1149074,2531,256,0.564,0.049,0.951,11.2,1.9,27.9,rain,5410,462,0.418,1,0,0,0,0,0
2024-01-13,958,2632584,2748,579,0.604,0.051,0.949,10.2,-1.5,0.0,cloudy,12458,288,0.562,1,0,1,0,1,0
2024-01-14,1007,2753138,2734,585,0.581,0.05,0.95,11.7,-2.8,0.0,cloudy,10774,310,0.606,1,0,1,0,1,0
2024-01-15,636,1653600,2600,422,0.664,0.039,0.961,10.7,0.2,0.0,cloudy,7745,208,0.662,5,0,0,0,0,0
2024-01-16,497,1215165,2445,321,0.645,0.043,0.957,8.7,1.4,0.0,sunny,6662,198,0.548,1,0,0,0,0,0
2024-01-17,575,1444975,2513,324,0.564,0.044,0.956,10.6,2.7,6.2,rain,5791,208,0.732,1,0,0,0,0,0
2024-01-18,548,1328900,2425,334,0.609,0.036,0.964,8.6,0.8,0.0,sunny,7447,233,0.569,1,0,0,0,0,0
2024-01-19,679,1680525,2475,411,0.605,0.045,0.955,11.3,-0.6,7.7,rain,7105,247,0.648,1,0,0,0,0,0
2024-01-20,664,1971416,2969,443,0.667,0.039,0.961,9.9,-1.3,14.3,rain,8879,338,0.355,1,0,0,0,1,0
2024-01-21,902,2389398,2649,571,0.633,0.056,0.944,9.7,0.0,0.0,cloudy,9733,260,0.52,1,0,0,0,1,0
2024-01-22,650,1661400,2556,380,0.585,0.057,0.943,9.0,-0.4,0.0,cloudy,7954,217,0.597,1,0,1,0,0,0
2024-01-23,562,1355544,2412,340,0.606,0.037,0.963,11.9,-1.5,0.0,sunny,6873,171,0.474,1,0,0,0,0,0
2024-01-24,664,1744992,2628,443,0.667,0.047,0.953,9.8,3.1,0.0,cloudy,9172,211,0.526,1,0,0,0,0,1
2024-01-25,722,1929906,2673,499,0.691,0.069,0.931,9.4,2.7,0.0,sunny,7680,382,0.537,5,0,0,0,0,1
2024-01-26,819,2126124,2596,485,0.592,0.04,0.96,9.6,1.8,4.0,rain,9070,304,0.514,1,0,0,0,0,1
2024-01-27,889,2358517,2653,544,0.612,0.054,0.946,10.9,-1.3,0.0,cloudy,12561,489,0.615,1,0,0,0,1,0
2024-01-28,1227,3774252,3076,752,0.613,0.081,0.919,10.7,1.4,0.0,cloudy,12304,197,0.601,1,1,0,0,1,0
2024-01-29,578,1536902,2659,349,0.604,0.061,0.939,10.8,1.1,6.0,rain,8897,240,0.643,1,0,0,0,0,1
2024-01-30,657,1665495,2535,374,0.569,0.053,0.947,10.9,0.9,0.0,sunny,8247,288,0.524,1,0,0,0,0,1
